date,season,hometeam,awayteam,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,qbelo_prob1,qbelo_prob2,correct?
20000917,2000,8,27,1331.876,1419.995,0.466778104,0.533221896,77.18998229,66.03444265,8.658435163,2.659557667,0.495615529,0.504384471,0
20000917,2000,12,26,1504.466,1447.997,0.668017424,0.331982576,105.9136903,89.37938837,1.378324317,17.62019127,0.57380834,0.42619166,1
20000917,2000,21,20,1478.788,1618.755,0.393757522,0.606242478,35.76799511,114.2334495,-7.095284238,0.681002473,0.457268495,0.542731505,1
20000917,2000,18,29,1642.009,1365.35,0.877261312,0.122738688,183.9007631,121.6594887,23.84030464,-0.357322418,0.88102351,0.11897649,1
20000917,2000,24,4,1587.183,1603.874,0.569077644,0.430922356,162.7017735,83.86610353,12.27120212,-5.379884543,0.584008412,0.415991588,1
20000917,2000,11,30,1499.373,1606.072,0.440276804,0.559723196,52.83473812,60.02954232,29.38610135,2.798118734,0.442078264,0.557921736,1
20000918,2000,32,9,1528.539,1453.139,0.691727374,0.308272626,103.8939606,160.5134643,3.941219607,58.36037622,0.700706644,0.299293356,0
20000924,2000,2,18,1481.165,1648.15,0.35730676,0.64269324,83.70906967,184.7310977,-0.694864511,23.0634567,0.33983795,0.66016205,1
20000924,2000,1,12,1422.155,1513.189,0.462604026,0.537395974,59.09039879,79.28187373,10.2687673,-12.00650016,0.588848616,0.411151384,0
20000924,2000,6,11,1396.068,1472.661,0.483322521,0.516677479,85.79052972,50.17414051,5.614114893,26.58649748,0.487969239,0.512030761,1
20000924,2000,10,16,1584.704,1516.467,0.682865908,0.317134092,59.6210369,101.0031962,-47.63441829,6.316687336,0.64332167,0.35667833,0
20000924,2000,25,8,1537.487,1346.817,0.813323965,0.186676035,113.3187033,102.9555238,5.6493086,21.10828414,0.756052043,0.243947957,1
20000924,2000,22,26,1370.366,1439.274,0.494376173,0.505623827,87.00513777,67.7466549,8.859261159,5.922814974,0.499137882,0.500862118,1
20000924,2000,19,21,1545.296,1462.055,0.701268108,0.298731892,29.34929549,36.55701834,-12.46229806,-6.346008412,0.695166963,0.304833037,1
20000924,2000,30,24,1632.784,1609.439,0.624467601,0.375532399,79.5760349,155.2316519,12.43145909,7.922581186,0.689442183,0.310557817,0
20000924,2000,17,28,1428.115,1487.586,0.507956199,0.492043801,-33.10974718,39.38516425,-31.07785244,-10.31955202,0.440646825,0.559353175,1
20000924,2000,27,31,1405.054,1609.457,0.3094978,0.6905022,59.11305726,96.75610007,-0.93411291,-27.58551841,0.315428667,0.684571333,1
20000924,2000,3,7,1517.122,1327.042,0.81280776,0.18719224,68.54384221,8.259988335,4.334598946,-27.60901605,0.834152565,0.165847435,1
20000924,2000,9,29,1481.895,1359.208,0.746572174,0.253427826,79.52114351,133.5502692,-25.0695221,5.605933994,0.69572531,0.30427469,0
20000924,2000,23,32,1526.148,1499.783,0.628535502,0.371464498,105.7093944,100.8913562,9.427945714,2.242856448,0.55723655,0.44276345,0
20000925,2000,14,15,1552.155,1604.718,0.517890641,0.482109359,164.9461762,91.60562562,15.21380969,1.211346096,0.575439697,0.424560303,1
20001001,2000,11,20,1492.657,1635.488,0.389828956,0.610171044,46.93025379,116.7194197,23.63522925,1.889937456,0.466337586,0.533662414,1
20001001,2000,5,9,1470.849,1434.713,0.641570161,0.358429839,136.6390627,75.02972966,4.655854884,-26.06175292,0.713660132,0.286339868,0
20001001,2000,8,3,1335.794,1529.326,0.323028271,0.676971729,88.95521514,79.16466648,13.05271562,9.428281134,0.349916363,0.650083637,1
20001001,2000,12,6,1543.326,1376.073,0.791988868,0.208011132,92.85030488,93.36430958,-4.621959581,9.120299079,0.720124663,0.279875337,0
20001001,2000,4,14,1581.618,1584.765,0.588085003,0.411914997,95.1800024,193.5521801,0.546059116,28.75612113,0.494360186,0.505639814,1
20001001,2000,18,17,1669.26,1405.737,0.868884365,0.131115635,188.1189388,67.51846501,23.60420443,69.50298403,0.840579351,0.159420649,1
20001001,2000,31,23,1617.527,1494.699,0.746725711,0.253274289,114.1185693,92.73720319,-0.667876484,2.470452841,0.70005089,0.29994911,1
20001001,2000,7,19,1314.838,1556.936,0.265132982,0.734867018,4.382315328,26.29958029,-28.16740176,-13.36404075,0.27023449,0.72976551,1
20001001,2000,15,27,1572.107,1396.985,0.799352653,0.200647347,84.17865261,42.41249994,-2.562707714,-17.83571178,0.825273927,0.174726073,0
20001001,2000,32,30,1531.232,1611.842,0.477550508,0.522449492,114.3273845,65.65907041,8.84872779,4.851403888,0.537660279,0.462339721,1
20001001,2000,29,1,1406.391,1392.018,0.612280345,0.387719655,153.5263855,38.63842444,15.31369545,-0.470658235,0.611515361,0.388484639,1
20001001,2000,26,2,1466.003,1460.055,0.60070645,0.39929355,78.59635533,67.96824991,11.05152444,-8.530531166,0.625977728,0.374022272,1
20001001,2000,10,21,1574.627,1450.415,0.748229507,0.251770493,125.1638797,32.50212149,18.19605881,-8.056156414,0.802559108,0.197440892,0
20001002,2000,16,28,1526.544,1509.964,0.615291972,0.384708028,104.9097228,37.58822877,7.954116252,-10.70204215,0.621110705,0.378889295,1
20001008,2000,5,28,1452.204,1494.537,0.532574232,0.467425768,132.010816,67.23570857,2.10893881,22.84243626,0.519991206,0.480008794,1
20001008,2000,29,25,1421.954,1548.511,0.412327817,0.587672183,158.8960344,112.2236166,17.23283508,4.819299853,0.375165449,0.624834551,1
20001008,2000,24,27,1630.381,1441.578,0.811686723,0.188313277,138.657756,45.07628998,-0.760495821,-15.61203117,0.8105792,0.1894208,0
20001008,2000,26,32,1492.053,1545.821,0.516158519,0.483841481,103.2560563,116.4302691,22.82879872,9.457733706,0.46134998,0.53865002,1
20001008,2000,2,23,1434.004,1482.06,0.524365063,0.475634937,56.09043577,84.28543366,-14.04291167,-1.878954565,0.492541863,0.507458137,1
20001008,2000,1,8,1376.455,1320.137,0.667824628,0.332175372,51.39369315,80.22796757,5.930509031,8.036456055,0.622855359,0.377144641,1
20001008,2000,6,22,1400.623,1343.637,0.668677102,0.331322898,103.2801183,74.39610194,13.62218849,2.111780188,0.649522584,0.350477416,0
20001008,2000,17,10,1398.217,1536.928,0.395484761,0.604515239,82.6185277,130.0779653,73.57786617,19.7432987,0.414328352,0.585671648,1
20001008,2000,19,4,1570.543,1568.323,0.59554812,0.40445188,39.1358406,101.6540135,-6.277708558,3.75576169,0.606846985,0.393153015,1
20001008,2000,15,3,1527.514,1544.982,0.567980457,0.432019543,55.77595284,71.42348586,-16.63592222,5.086276766,0.527744926,0.472255074,0
20001008,2000,21,14,1488.115,1598.061,0.435675934,0.564324066,50.87290161,190.4569929,1.532041466,25.77072148,0.353352169,0.646647831,0
20001008,2000,11,12,1476.998,1518.775,0.533370901,0.466629099,53.96689958,107.0215297,25.97179068,2.694750804,0.562166197,0.437833803,1
20001008,2000,7,31,1301.231,1630.165,0.179560756,0.820439244,18.38618899,132.6021406,-19.75709484,8.607303005,0.170288379,0.829711621,1
20001009,2000,20,30,1651.146,1597.253,0.664720719,0.335279281,130.896658,62.0083175,8.884059724,2.783457242,0.557025389,0.442974611,1
20001015,2000,10,8,1557.653,1306.303,0.860692909,0.139307091,140.5137577,78.85401015,23.97402995,6.947654543,0.851214146,0.148785854,1
20001015,2000,21,24,1513.431,1577.34,0.50157007,0.49842993,56.15990232,124.52751,4.098939748,-7.78759401,0.540347558,0.459652442,0
20001015,2000,12,29,1499.571,1406.344,0.713169532,0.286830468,98.79451966,186.709581,-1.553491756,30.27796665,0.652951565,0.347048435,1
20001015,2000,32,3,1560.205,1565.785,0.584688167,0.415311833,118.3008827,60.56850401,9.920153801,-0.595527999,0.640130414,0.359869586,1
20001015,2000,4,17,1550.249,1377.491,0.797161155,0.202838845,94.73753748,59.99804867,0.10973562,58.58873335,0.726203122,0.273796878,1
20001015,2000,22,5,1387.402,1481.611,0.458063623,0.541936377,92.67150222,142.3175829,11.14389132,7.15687533,0.472087979,0.527912021,0
20001015,2000,27,7,1494.619,1293.848,0.821991808,0.178008192,59.60855163,20.5387065,-6.867056353,-17.69298134,0.809503424,0.190496576,1
20001015,2000,16,25,1541.971,1564.121,0.561355333,0.438644667,112.762437,128.7088857,11.48276753,12.8209694,0.55758952,0.44241048,0
20001015,2000,1,26,1390.289,1477.669,0.467837063,0.532162937,58.42331196,102.2259201,9.148792984,21.17229068,0.44316284,0.55683716,1
20001015,2000,23,9,1504.037,1453.358,0.660584909,0.339415091,71.17477387,60.86866033,-8.340336732,-31.83919994,0.665628763,0.334371237,1
20001015,2000,6,20,1356.858,1664.375,0.198445244,0.801554756,81.69221651,136.9661336,2.147128163,11.47459457,0.27096364,0.72903636,1
20001015,2000,18,2,1676.78,1412.027,0.869688896,0.130311104,211.7444985,47.19315833,34.23677405,-17.78940481,0.897120219,0.102879781,1
20001015,2000,28,14,1465.13,1572.744,0.438979212,0.561020788,61.30883169,177.1402006,18.736876,17.82378924,0.408895179,0.591104821,1
20001016,2000,31,15,1637.549,1506.711,0.75534659,0.24465341,128.6952038,51.12288481,6.223469431,-18.13066012,0.740778692,0.259221308,1
20001019,2000,30,11,1584.024,1496.202,0.706762982,0.293237018,78.87207051,58.15795604,11.07616088,26.76872937,0.672027331,0.327972669,0
20001022,2000,16,18,1526.098,1683.202,0.370471818,0.629528182,123.0411591,206.9638746,16.0479902,30.13462338,0.330821199,0.669178801,0
20001022,2000,7,10,1285.041,1566.313,0.22357351,0.77642649,19.19314323,160.3982019,-17.48111391,32.71755057,0.17498171,0.82501829,0
20001022,2000,14,21,1595.474,1484.422,0.733692193,0.266307807,179.8119249,34.21090801,18.26846194,-7.080504394,0.775531712,0.224468288,1
20001022,2000,20,4,1673.545,1555.325,0.741676234,0.258323766,136.4759604,109.8783517,10.65577822,16.49883458,0.696624793,0.303375207,1
